Type                                  Module                      Label             Process           
------------------------------------------------------------------------------------------------------
GenEventInfoProduct                   "generator"                 ""                "SIM"             
edm::TriggerResults                   "TriggerResults"            ""                "SIM"             
edm::TriggerResults                   "TriggerResults"            ""                "HLT"             
BXVector<l1t::EGamma>                 "caloStage2Digis"           "EGamma"          "RECO"            
double                                "fixedGridRhoAll"           ""                "RECO"            
double                                "fixedGridRhoFastjetAll"    ""                "RECO"            
double                                "fixedGridRhoFastjetAllCalo"   ""                "RECO"            
double                                "fixedGridRhoFastjetCentral"   ""                "RECO"            
double                                "fixedGridRhoFastjetCentralCalo"   ""                "RECO"            
double                                "fixedGridRhoFastjetCentralChargedPileUp"   ""                "RECO"            
double                                "fixedGridRhoFastjetCentralNeutral"   ""                "RECO"            
edm::TriggerResults                   "TriggerResults"            ""                "RECO"            
reco::BeamSpot                        "offlineBeamSpot"           ""                "RECO"            
vector<l1extra::L1EmParticle>         "l1extraParticles"          "Isolated"        "RECO"            
vector<l1extra::L1EmParticle>         "l1extraParticles"          "NonIsolated"     "RECO"            
edm::TriggerResults                   "TriggerResults"            ""                "PAT"             
pat::PackedTriggerPrescales           "patTrigger"                ""                "PAT"             
pat::PackedTriggerPrescales           "patTrigger"                "l1max"           "PAT"             
pat::PackedTriggerPrescales           "patTrigger"                "l1min"           "PAT"             
vector<PileupSummaryInfo>             "slimmedAddPileupInfo"      ""                "PAT"             
vector<pat::TriggerObjectStandAlone>    "slimmedPatTrigger"         ""                "PAT"             
vector<reco::CaloCluster>             "reducedEgamma"             "reducedEBEEClusters"   "PAT"             
vector<reco::CaloCluster>             "reducedEgamma"             "reducedESClusters"   "PAT"             
vector<reco::CaloCluster>             "reducedEgamma"             "reducedOOTEBEEClusters"   "PAT"             
vector<reco::CaloCluster>             "reducedEgamma"             "reducedOOTESClusters"   "PAT"             
vector<reco::GenJet>                  "slimmedGenJets"            ""                "PAT"             
vector<reco::GsfElectronCore>         "reducedEgamma"             "reducedGedGsfElectronCores"   "PAT"             
vector<reco::PhotonCore>              "reducedEgamma"             "reducedGedPhotonCores"   "PAT"             
vector<reco::PhotonCore>              "reducedEgamma"             "reducedOOTPhotonCores"   "PAT"             
vector<reco::SuperCluster>            "reducedEgamma"             "reducedSuperClusters"   "PAT"             
vector<reco::Vertex>                  "offlineSlimmedPrimaryVertices"   ""                "PAT"             
vector<string>                        "slimmedPatTrigger"         "filterLabels"    "PAT"             
HTXS::HiggsClassification             "rivetProducerHTXS"         "HiggsClassification"   "FLASHggMicroAOD"   
edm::TriggerResults                   "TriggerResults"            ""                "FLASHggMicroAOD"   
vector<flashgg::DiPhotonCandidate>    "flashggDiPhotons"          ""                "FLASHggMicroAOD"   
vector<flashgg::Electron>             "flashggSelectedElectrons"   ""                "FLASHggMicroAOD"   
vector<flashgg::GenPhotonExtra>       "flashggGenPhotonsExtra"    ""                "FLASHggMicroAOD"   
vector<flashgg::Met>                  "flashggMets"               ""                "FLASHggMicroAOD"   
vector<flashgg::Muon>                 "flashggSelectedMuons"      ""                "FLASHggMicroAOD"   
vector<flashgg::Photon>               "flashggRandomizedPhotons"   ""                "FLASHggMicroAOD"   
vector<pat::MET>                      "patCHSMet"                 ""                "FLASHggMicroAOD"   
vector<pat::MET>                      "patCaloMet"                ""                "FLASHggMicroAOD"   
vector<pat::MET>                      "patTrkMet"                 ""                "FLASHggMicroAOD"   
vector<pat::PackedGenParticle>        "flashggGenNeutrinos"       ""                "FLASHggMicroAOD"   
vector<pat::PackedGenParticle>        "flashggGenPhotons"         ""                "FLASHggMicroAOD"   
vector<reco::GenParticle>             "flashggPrunedGenParticles"   ""                "FLASHggMicroAOD"   
vector<vector<flashgg::Jet> >         "flashggFinalJets"          ""                "FLASHggMicroAOD"   
